dummy,dummy,dummy,2010,2011,2012,2013,2014,2015,2016,2017
ESP,SE,GDO,1.4289,1.3612,1.2934,1.4873,1.2008,1.0459,1.2581,1.2716
SWE,SE,GDO,0.3128,0.287,0.2249,0.197,0.188,0.1733,0.1646,0.1551
TUN,SE,GDO,0.1129,0.1055,0.1033,0.1011,0.102,0.1019,0.1017,0.1023
TUR,SE,GDO,0,0,0,0,0,0.6349,0.6801,0.9357
GBR,SE,GDO,0.8665,0.9699,0.9047,0.8791,1.2345,1.3657,2.6282,2.6065
USA,SE,GDO,14.3066,12.0119,9.7116,9.6784,8.9262,10.7638,11.8303,9.7113
RAS,SE,NGS,1.8085,1.97366666666667,2.02873333333333,1.93113333333333,1.82873333333333,1.7815,1.734,1.6903
RWO,SE,NGS,11.41915,11.81528,10.90351,10.2179,9.3055,9.15803,9.85841,10.01521
REU,SE,NGS,0.910085714285714,1.04652857142857,1.13975714285714,1.27714285714286,1.53057142857143,0.991142857142857,1.3655,1.45515714285714
REP,SE,NGS,12.0903,14.15093,14.88201,16.20055,16.3704,17.67848,18.82021,18.00651
RAF,SE,NGS,4.1272,5.60293333333333,6.70926666666667,7.08683333333334,7.1368,8.06823333333333,8.44063333333333,8.0326
RLA,SE,NGS,2.4228935483871,2.62617741935484,2.71446451612903,2.84385806451613,2.93998064516129,2.68138387096774,2.31837096774193,2.57425806451613
ARG,SE,NGS,1.3915,1.3949,1.4833,1.4853,1.4671,1.4642,1.1355,1.4135
OCE,SE,NGS,1.2799,1.30581111111111,1.36085555555556,1.40028888888889,1.50018888888889,1.53853333333333,1.52206666666667,1.48353333333333
AUT,SE,NGS,0.4101,0.3559,0.4011,0.4044,0.3383,0.3624,0.3409,0.3586
BEL,SE,NGS,2.0047,1.6512,1.8549,2.0222,1.6207,1.7851,1.8773,1.8698
BRA,SE,NGS,0.2618,0.2321,0.2374,0.2259,0.2188,0.1575,0.1772,0.1349
BGR,SE,NGS,0.0801,0.0826,0.0817,0.078,0.0833,0.0892,0.0896,0.0947
CAN,SE,NGS,10.3311,10.8628,10.0196,10.567,11.3067,10.9405,10.9396,12.0785
CHA,SE,NGS,11.5952,12.9852,15.3078,15.9876,17.8332,19.68,20.7982,22.6098
HRV,SE,NGS,0.1565,0.1409,0.1316,0.1355,0.1321,0.1692,0.1811,0.1917
CYP,SE,NGS,1.506840625,1.29849375,1.38019375,1.45275625,1.25231875,1.34753125,1.3675125,1.3615
CZE,SE,NGS,1.3513,1.3087,1.2237,1.1704,1.1374,1.1379,1.1598,1.2487
DNK,SE,NGS,0.2275,0.1779,0.1985,0.2058,0.1554,0.1729,0.1616,0.1953
EGY,SE,NGS,1.16015,1.39721666666667,1.48703333333333,1.61725,1.64233333333333,1.79215,1.9042,1.80856666666667
EST,SE,NGS,0.0297,0.031,0.0349,0.0433,0.0668,0.07,0.0793,0.0729
FIN,SE,NGS,0.0306,0.0371,0.0335,0.0348,0.0299,0.0284,0.0292,0.0292
FRA,SE,NGS,6.7821,5.2169,5.9544,6.403,5.5052,5.8477,5.948,6.1477
DEU,SE,NGS,9.0984,8.0634,8.2901,9.9343,9.0858,9.6197,9.55,9.5759
GRC,SE,NGS,0.1388,0.1649,0.138,0.1246,0.1254,0.1658,0.148,0.1509
HUN,SE,NGS,1.7155,1.7212,1.398,1.408,1.2461,1.2649,1.2265,1.173
NSI,SE,NGS,0.6502,0.5461,0.6354,0.6828,0.5559,0.631,0.6683,0.6551
IND,SE,NGS,0.324,0.945,1.2121,1.2289,1.1432,1.1546,1.5661,1.8306
IDN,SE,NGS,0.1325,0.1775,0.2236,0.1957,0.1991,0.1975,0.175,0.1657
IRN,SE,NGS,5.0126,5.4457,5.0228,5.4745,5.6158,5.8713,6.4151,6.1958
IRL,SE,NGS,0.3439,0.3478,0.3774,0.36,0.339,0.3647,0.3667,0.368
ISR,SE,NGS,1.16015,1.39721666666667,1.48703333333333,1.61725,1.64233333333333,1.79215,1.9042,1.80856666666667
ITA,SE,NGS,8.6138,7.2545,7.2764,7.259,6.0121,6.4992,6.542,6.5902
JPN,SE,NGS,8.4915,8.7719,8.3189,8.642,8.555,9.2659,8.3719,9.2125
KOR,SE,NGS,0.0431333333333333,0.0478037037037037,0.0500518518518518,0.047262962962963,0.045062962962963,0.0439777777777778,0.0424222222222222,0.0412444444444444
LVA,SE,NGS,0.1156,0.1044,0.098,0.0836,0.0906,0.0856,0.0951,0.1011
LTU,SE,NGS,0.0664,0.0602,0.0633,0.0632,0.0539,0.0615,0.0655,0.0689
LUX,SE,NGS,0.1364,0.0689,0.1078,0.1067,0.09,0.1036,0.1168,0.0886
MLT,SE,NGS,1.506840625,1.29849375,1.38019375,1.45275625,1.25231875,1.34753125,1.3675125,1.3615
MEX,SE,NGS,0.2181,0.2043,0.2212,0.2304,0.2717,0.2713,0.266,0.2735
MAR,SE,NGS,1.16015,1.39721666666667,1.48703333333333,1.61725,1.64233333333333,1.79215,1.9042,1.80856666666667
NLD,SE,NGS,4.0409,3.2268,3.6386,3.6518,2.8916,3.1054,3.1148,3.1144
NGA,SE,NGS,1e-04,0.00015,0.00015,0.000166666666666667,0.000266666666666667,0.000366666666666667,0.000616666666666667,0.00458333333333333
POL,SE,NGS,1.99,1.8734,1.9354,1.8287,1.6106,1.714,1.9402,1.4529
PRT,SE,NGS,0.1963,0.2173,0.2179,0.2188,0.2159,0.2334,0.2527,0.2555
ROU,SE,NGS,0.9354,0.756,0.7639,0.7846,0.7757,0.7509,0.7623,0.8157
RUS,SE,NGS,3.0214,2.4861,2.3972,2.2497,2.0951,2.1607,2.3212,2.4941
SAU,SE,NGS,1.16015,1.39721666666667,1.48703333333333,1.61725,1.64233333333333,1.79215,1.9042,1.80856666666667
SVK,SE,NGS,0.843,0.3568,0.6443,0.7721,0.4934,0.5264,0.533,0.5715
SVN,SE,NGS,0.0236,0.0394,0.0132,0.0318,0.0367,0.0501,0.0651,0.0493
ZAF,SE,NGS,6e-04,9e-04,9e-04,0.001,0.0016,0.0015,0.0015,0.0265
ESP,SE,NGS,1.0184,1.7256,1.6294,1.4923,1.4091,1.7634,1.8033,1.8438
SWE,SE,NGS,0.102,0.0942,0.1216,0.1058,0.1005,0.095,0.0958,0.0747
TUN,SE,NGS,0.141,0.1303,0.1645,0.1714,0.1688,0.1683,0.1539,0.1696
TUR,SE,NGS,1.5418,2.041,2.2418,2.4969,2.4809,2.6022,2.5512,2.7887
GBR,SE,NGS,7.7679,6.4748,7.5386,7.7655,6.4287,7.0546,7.2158,7.065
USA,SE,NGS,71.2379,72.1072,65.8705,75.0702,79.4175,73.0936,72.737,74.046
RAS,AG,HCL,0.00623333333333333,0.0111833333333333,0.00495,0.0044,0.00513333333333333,0.00513333333333333,0.00385,0.3696
RWO,AG,HCL,0.252533333333333,0.241255555555556,0.237844444444444,0.218544444444444,0.203155555555556,0.158466666666667,0.150244444444444,0.147755555555556
REU,AG,HCL,0.0231153846153846,0.0197923076923077,0.0180692307692308,0.0187076923076923,0.0138615384615385,0.0128307692307692,0.0113076923076923,0.0119846153846154
REP,AG,HCL,0.0322506666666667,0.0300857777777778,0.0287982222222222,0.0266742222222222,0.0275337777777778,0.0238893333333333,0.0204702222222222,0.0192417777777778
RAF,AG,HCL,1.88322857142857,1.92085714285714,2.74338571428572,2.50827142857143,2.58511428571429,2.27612857142857,2.01814285714286,2.16811428571429
