dummy,dummy,IC,FC,VC,LFT,USC
EN,STE1AG,1.183759111,30.14666667,31.62790698,20,0.44
EN,STE1AB,2.333352,67.1517,18.97674419,25,0.37
EN,STE1AH2F,2.278894545,68.36683636,0,25,0.5
EN,HEATPUMP,1.295446202,0.603876557,0,25,1.68
EN,BMSWAS,1.009368499,0.317696,0,25,0.5
EN,ELC,0.748,0.317696,0,20,0.97
OE,LGN,1.009368499,0.317696,0,25,0.5
OE,HCL,1.009368499,0.317696,0,25,0.5
OE,GDO,0.841140416,0.317696,0,25,0.72
OE,RFO,0.841140416,0.317696,0,25,0.72
OE,LPG,0.841140416,0.317696,0,25,0.72
OE,KRS,0.841140416,0.317696,0,25,0.72
OE,OLQ,0.841140416,0.317696,0,25,0.72
OE,NGS,0.672912333,0.317696,0,25,0.8
OE,OGS,0.672912333,0.317696,0,25,0.8
*OE,STE1CL,6.8,136,136,30,0.23
*OE,STE1CH,6.8,136,136,30,0.25
*OE,STE1CD,6.8,136,136,30,0.3
*OE,STE1CR,6.8,136,136,30,0.3
*OE,STE1CG,6.8,136,136,30,0.38
*OE,STE1CB,6.8,136,136,30,0.2
OE,STE1AL,2.431328667,40.19555556,41.11627907,25,0.35
OE,STE1AH,2.431328667,40.19555556,41.11627907,25,0.35
OE,STE1AD,1.821863556,54.264,11.38604651,25,0.34
OE,STE1AR,1.821863556,54.264,11.38604651,25,0.34
OE,STE1AG,1.183759111,30.14666667,31.62790698,20,0.44
OE,STE1AB,2.333352,67.1517,18.97674419,25,0.37
OE,STE1AH2F,2.278894545,68.36683636,0,25,0.5
OE,HEATPUMP,1.295446202,0.603876557,0,25,1.68
OE,BMSWAS,1.009368499,0.317696,0,25,0.5
OE,ELC,0.841140416,0.317696,0,25,0.97
OI,LGN,0.94967712,1.40352,0,20,0.5
OI,HCL,0.94967712,1.40352,0,20,0.5
OI,GDO,0.7913976,1.40352,0,20,0.72
OI,RFO,0.7913976,1.40352,0,20,0.72
OI,LPG,0.7913976,1.40352,0,20,0.72
OI,KRS,0.7913976,1.40352,0,20,0.72
OI,OLQ,0.7913976,1.40352,0,20,0.72
OI,NGS,0.63311808,1.40352,0,20,0.8
OI,OGS,0.63311808,1.40352,0,20,0.8
*OI,STE1CL,6.8,136,136,30,0.23
*OI,STE1CH,6.8,136,136,30,0.25
*OI,STE1CD,6.8,136,136,30,0.3
*OI,STE1CR,6.8,136,136,30,0.3
*OI,STE1CG,6.8,136,136,30,0.38
*OI,STE1CB,6.8,136,136,30,0.2
OI,STE1AL,2.431328667,40.19555556,41.11627907,25,0.35
OI,STE1AH,2.431328667,40.19555556,41.11627907,25,0.35
OI,STE1AD,1.821863556,54.264,11.38604651,25,0.34
OI,STE1AR,1.821863556,54.264,11.38604651,25,0.34
OI,STE1AG,1.183759111,30.14666667,31.62790698,20,0.44
OI,STE1AB,2.333352,67.1517,18.97674419,25,0.37
OI,STE1AH2F,2.278894545,68.36683636,0,20,0.5
OI,HEATPUMP,1.218836945,2.667810816,0,20,1.68
OI,BMSWAS,0.94967712,1.40352,0,20,0.5
OI,ELC,0.68,1.40352,0,20,0.97
