dummy,dummy,dummy,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
EGY,BM,OLQ,189.5019,266.385033333333,293.1583,252.223133333333,251.3925,249.895466666667,248.923,247.860366666667,247.025433333333,246.3379,246.2276,247.5902
IND,BM,OLQ,622.6108,622.6108,622.6108,622.6108,622.6108,622.6108,622.6108,622.6108,622.6108,622.6108,622.6108,622.6108
MAR,BM,OLQ,189.5019,266.385033333333,293.1583,252.223133333333,251.3925,249.895466666667,248.923,247.860366666667,247.025433333333,246.3379,246.2276,247.5902
USA,BM,OLQ,546.2063,735.2431,781.2868,735.7257,674.3615,367.9346,271.3624,361.8595,457.4109,427.2688,333.3318,471.7953
RWO,BM,RFO,518.001934928394,582.704216241448,606.319132989555,578.988324069991,565.891351528257,505.717275158383,482.851119907826,510.05641985003,532.64512852114,530.117906167811,500.908704328803,535.62465370354
CHA,BM,RFO,609.4429,667.8453,667.8453,667.8453,667.8453,667.8453,667.8453,667.8453,667.8453,667.8453,667.8453,667.8453
EGY,BM,RFO,189.5019,266.385033333333,293.1583,252.223133333333,251.3925,249.895466666667,248.923,247.860366666667,247.025433333333,246.3379,246.2276,247.5902
IND,BM,RFO,622.6108,622.6108,622.6108,622.6108,622.6108,622.6108,622.6108,622.6108,622.6108,622.6108,622.6108,622.6108
MAR,BM,RFO,189.5019,266.385033333333,293.1583,252.223133333333,251.3925,249.895466666667,248.923,247.860366666667,247.025433333333,246.3379,246.2276,247.5902
USA,BM,RFO,546.2063,735.2431,781.2868,735.7257,674.3615,367.9346,271.3624,361.8595,457.4109,427.2688,333.3318,471.7953
RWO,BM,STE1AD,942.284979669208,1076.85002513174,1115.13254958041,1116.94219124708,1087.12656317575,954.59190178816,906.030420169795,941.214690007811,1017.7063319477,1014.57884881441,942.132246811579,1006.86735423254
CHA,BM,STE1AD,1308.8405,1397.7083,1478.5247,1398.1989,1168.205,1052.3824,907.5308,982.6293,1140.3318,1034.0869,828.5378,1036.841
EGY,BM,STE1AD,424.2303,235.6727,218.043,200.9917,293.726,272.6539,198.7291,241.5021,491.2787,555.5081,528.829,501.0425
IND,BM,STE1AD,1061.856,1052.4497,1052.8984,1026.053,1069.21,867.5111,836.3308,894.394,1086.2872,1034.6639,1017.4624,1160.2997
MAR,BM,STE1AD,221.6441,186.428,144.95495,126.80085,169.4218,236.60185,192.86495,207.2895,289.633,308.64965,304.54835,267.7053
USA,BM,STE1AD,1000.1919,1245.3797,1260.316,1226.1995,1177.9179,832.2622,701.5208,789.092,923.7474,871.1608,719.0661,882.7859
RWO,BM,STE1AG,443.528436455896,477.138687443707,508.049765936095,518.847450862234,440.680277568084,413.214071640172,373.080672237512,365.029053402842,385.589328101771,398.167362096171,368.63122644276,392.712350079341
CHA,BM,STE1AG,564.2695,559.1766,537.412,583.5339,607.3952,624.4529,557.2028,540.1549,521.0345,490.0201,462.4964,467.953
EGY,BM,STE1AG,88.4975,86.1926,84.566525,87.662325,102.730575,91.660125,98.653075,97.85245,116.718525,132.95735,127.457675,125.200675
IND,BM,STE1AG,76.6347,164.8936,168.452,165.5274,174.0273,188.4014,126.5086,97.5348,114.2768,132.8497,80.7011,57.4913
MAR,BM,STE1AG,88.4975,86.1926,84.566525,87.662325,102.730575,91.660125,98.653075,97.85245,116.718525,132.95735,127.457675,125.200675
