dummy,dummy,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
RAS,STE1AG,2.5646122854198996,2.5066132834550183,2.423490416402206,2.3819289828758006,2.3611482661125978,2.350757907730996,2.3455627285401954,2.3429651389447947,2.341666344147095,2.341016946748245,2.448614281490137,2.3403675493493945,2.3403675493493945,2.3403675493493945,2.3403675493493945,2.3403675493493945,2.3403675493493945,2.3403675493493945,2.3403675493493945,2.3403675493493945,2.3403675493493945,2.3403675493493945,2.3403675493493945,2.3403675493493945,2.3403675493493945,2.3403675493493945,2.3403675493493945,2.3403675493493945,2.3403675493493945,2.3403675493493945,2.3403675493493945,2.3403675493493945,2.3403675493493945,2.3403675493493945,2.3403675493493945,2.3403675493493945,2.3403675493493945,2.3403675493493945,2.3403675493493945,2.3403675493493945,2.232120817208652
*RAS,STE1AH2F,2.5646122854198996,2.5066132834550183,2.423490416402206,2.3819289828758006,2.3611482661125978,2.350757907730996,2.3455627285401954,2.3429651389447947,2.341666344147095,2.341016946748245,2.448614281490137,2.3403675493493945,2.3403675493493945,2.3403675493493945,2.3403675493493945,2.3403675493493945,2.3403675493493945,2.3403675493493945,2.3403675493493945,2.3403675493493945,2.3403675493493945,2.3403675493493945,2.3403675493493945,2.3403675493493945,2.3403675493493945,2.3403675493493945,2.3403675493493945,2.3403675493493945,2.3403675493493945,2.3403675493493945,2.3403675493493945,2.3403675493493945,2.3403675493493945,2.3403675493493945,2.3403675493493945,2.3403675493493945,2.3403675493493945,2.3403675493493945,2.3403675493493945,2.3403675493493945,2.232120817208652
RAS,STE1AB,6.296381325245775,6.1738762529921365,6.004051755014029,5.919139506024974,5.876683381530447,5.855455319283184,5.844841288159552,5.839534272597736,5.8368807648168275,5.835554010926374,6.051371180738498,5.83422725703592,5.83422725703592,5.83422725703592,5.83422725703592,5.83422725703592,5.83422725703592,5.83422725703592,5.83422725703592,5.83422725703592,5.83422725703592,5.83422725703592,5.83422725703592,5.83422725703592,5.83422725703592,5.83422725703592,5.83422725703592,5.83422725703592,5.83422725703592,5.83422725703592,5.83422725703592,5.83422725703592,5.83422725703592,5.83422725703592,5.83422725703592,5.83422725703592,5.83422725703592,5.83422725703592,5.83422725703592,5.83422725703592,5.617083333333343
*MAR,STE1CL,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75
*MAR,STE1CH,2.928,2.928,2.928,2.928,2.928,2.928,2.928,2.928,2.928,2.928,2.928,2.928,2.928,2.928,2.928,2.928,2.928,2.928,2.928,2.928,2.928,2.928,2.928,2.928,2.928,2.928,2.928,2.928,2.928,2.928,2.928,2.928,2.928,2.928,2.928,2.928,2.928,2.928,2.928,2.928,2.928
*MAR,STE1CD,2.6704166666666667,2.6704166666666667,2.6704166666666667,2.6704166666666667,2.6704166666666667,2.6704166666666667,2.6704166666666667,2.6704166666666667,2.6704166666666667,2.6704166666666667,2.6704166666666667,2.6704166666666667,2.6704166666666667,2.6704166666666667,2.6704166666666667,2.6704166666666667,2.6704166666666667,2.6704166666666667,2.6704166666666667,2.6704166666666667,2.6704166666666667,2.6704166666666667,2.6704166666666667,2.6704166666666667,2.6704166666666667,2.6704166666666667,2.6704166666666667,2.6704166666666667,2.6704166666666667,2.6704166666666667,2.6704166666666667,2.6704166666666667,2.6704166666666667,2.6704166666666667,2.6704166666666667,2.6704166666666667,2.6704166666666667,2.6704166666666667,2.6704166666666667,2.6704166666666667,2.6704166666666667
*MAR,STE1CR,3.7293750000000006,3.7293750000000006,3.7293750000000006,3.7293750000000006,3.7293750000000006,3.7293750000000006,3.7293750000000006,3.7293750000000006,3.7293750000000006,3.7293750000000006,3.7293750000000006,3.7293750000000006,3.7293750000000006,3.7293750000000006,3.7293750000000006,3.7293750000000006,3.7293750000000006,3.7293750000000006,3.7293750000000006,3.7293750000000006,3.7293750000000006,3.7293750000000006,3.7293750000000006,3.7293750000000006,3.7293750000000006,3.7293750000000006,3.7293750000000006,3.7293750000000006,3.7293750000000006,3.7293750000000006,3.7293750000000006,3.7293750000000006,3.7293750000000006,3.7293750000000006,3.7293750000000006,3.7293750000000006,3.7293750000000006,3.7293750000000006,3.7293750000000006,3.7293750000000006,3.7293750000000006
*MAR,STE1CG,2.9828678577127663,2.9828678577127663,2.9828678577127663,2.9828678577127663,2.9828678577127663,2.9828678577127663,2.9828678577127663,2.9828678577127663,2.9828678577127663,2.9828678577127663,2.9828678577127663,2.9828678577127663,2.9828678577127663,2.9828678577127663,2.9828678577127663,2.9828678577127663,2.9828678577127663,2.9828678577127663,2.9828678577127663,2.9828678577127663,2.9828678577127663,2.9828678577127663,2.9828678577127663,2.9828678577127663,2.9828678577127663,2.9828678577127663,2.9828678577127663,2.9828678577127663,2.9828678577127663,2.9828678577127663,2.9828678577127663,2.9828678577127663,2.9828678577127663,2.9828678577127663,2.9828678577127663,2.9828678577127663,2.9828678577127663,2.9828678577127663,2.9828678577127663,2.9828678577127663,2.9828678577127663
*MAR,STE1CB,4.345041031914893,4.345041031914893,4.345041031914893,4.345041031914893,4.345041031914893,4.345041031914893,4.345041031914893,4.345041031914893,4.345041031914893,4.345041031914893,4.345041031914893,4.345041031914893,4.345041031914893,4.345041031914893,4.345041031914893,4.345041031914893,4.345041031914893,4.345041031914893,4.345041031914893,4.345041031914893,4.345041031914893,4.345041031914893,4.345041031914893,4.345041031914893,4.345041031914893,4.345041031914893,4.345041031914893,4.345041031914893,4.345041031914893,4.345041031914893,4.345041031914893,4.345041031914893,4.345041031914893,4.345041031914893,4.345041031914893,4.345041031914893,4.345041031914893,4.345041031914893,4.345041031914893,4.345041031914893,4.345041031914893
MAR,STE1AL,5.197463236374963,5.10807818875155,4.650937989413906,4.422367889745084,4.308082839910673,4.250940314993468,4.222369052534865,4.208083421305563,4.200940605690913,4.197369197883587,5.0186931411281375,4.193797790076262,4.193797790076262,4.193797790076262,4.193797790076262,4.193797790076262,4.193797790076262,4.193797790076262,4.193797790076262,4.193797790076262,4.193797790076262,4.193797790076262,4.193797790076262,4.193797790076262,4.193797790076262,4.193797790076262,4.193797790076262,4.193797790076262,4.193797790076262,4.193797790076262,4.193797790076262,4.193797790076262,4.193797790076262,4.193797790076262,4.193797790076262,4.193797790076262,4.193797790076262,4.193797790076262,4.193797790076262,4.193797790076262,3.368902439024386
MAR,STE1AH,4.430604652251638,4.3574019701852045,4.270260969723919,4.226690469493278,4.204905219377956,4.194012594320295,4.188566281791465,4.18584312552705,4.184481547394842,4.183800758328738,4.28419928811877,4.183119969262635,4.183119969262635,4.183119969262635,4.183119969262635,4.183119969262635,4.183119969262635,4.183119969262635,4.183119969262635,4.183119969262635,4.183119969262635,4.183119969262635,4.183119969262635,4.183119969262635,4.183119969262635,4.183119969262635,4.183119969262635,4.183119969262635,4.183119969262635,4.183119969262635,4.183119969262635,4.183119969262635,4.183119969262635,4.183119969262635,4.183119969262635,4.183119969262635,4.183119969262635,4.183119969262635,4.183119969262635,4.183119969262635,4.0820406504065
MAR,STE1AD,2.6704166666666667,2.6704166666666667,2.6704166666666667,2.6704166666666667,2.6704166666666667,2.6704166666666667,2.6704166666666667,2.6704166666666667,2.6704166666666667,2.6704166666666667,2.6704166666666667,2.6704166666666667,2.6704166666666667,2.6704166666666667,2.6704166666666667,2.6704166666666667,2.6704166666666667,2.6704166666666667,2.6704166666666667,2.6704166666666667,2.6704166666666667,2.6704166666666667,2.6704166666666667,2.6704166666666667,2.6704166666666667,2.6704166666666667,2.6704166666666667,2.6704166666666667,2.6704166666666667,2.6704166666666667,2.6704166666666667,2.6704166666666667,2.6704166666666667,2.6704166666666667,2.6704166666666667,2.6704166666666667,2.6704166666666667,2.6704166666666667,2.6704166666666667,2.6704166666666667,2.6704166666666667
MAR,STE1AR,3.7293750000000006,3.7293750000000006,3.7293750000000006,3.7293750000000006,3.7293750000000006,3.7293750000000006,3.7293750000000006,3.7293750000000006,3.7293750000000006,3.7293750000000006,3.7293750000000006,3.7293750000000006,3.7293750000000006,3.7293750000000006,3.7293750000000006,3.7293750000000006,3.7293750000000006,3.7293750000000006,3.7293750000000006,3.7293750000000006,3.7293750000000006,3.7293750000000006,3.7293750000000006,3.7293750000000006,3.7293750000000006,3.7293750000000006,3.7293750000000006,3.7293750000000006,3.7293750000000006,3.7293750000000006,3.7293750000000006,3.7293750000000006,3.7293750000000006,3.7293750000000006,3.7293750000000006,3.7293750000000006,3.7293750000000006,3.7293750000000006,3.7293750000000006,3.7293750000000006,3.7293750000000006
