dummy,dummy,2010,2011,2012,2013,2014,2015,2016,2017,2018
POL,STE1AG,0,0,0,0,0,0,0,0,0
PRT,STE1AG,0,0,0,0,0,0,0,0,0
ROU,STE1AG,0,0,0,0,0,0,0,0,0
RUS,STE1AG,0,0,0,0,0,0,0,0,0
SAU,STE1AG,0,0,0,0,0,0,0,0,0
SVK,STE1AG,0,0,0,0,0,0,0,0,0
SVN,STE1AG,0,0,0,0,0,0,0,0,0
ZAF,STE1AG,0,0,0,0,0,0,0,0,0
ESP,STE1AG,0,0,0,0,0,0,0,0,0
SWE,STE1AG,0,0,0,0,0,0,0,0,0
TUN,STE1AG,0,0,0,0,0,0,0,0,0
TUR,STE1AG,0,0,0,0,0,0,0,0,0
GBR,STE1AG,0,0,0,0,0,0,0,0,0
USA,STE1AG,0,0,0,0,0,0,0,0,0
RAS,STE1AH,0,0,0,0,0,0,0,0,0
RWO,STE1AH,0,0,0,0,0,0,0,0,0
REU,STE1AH,0,0,0,0,0,0,0,0,0
REP,STE1AH,0,0,0,0,0,0,0,0,0
RAF,STE1AH,0,0,0,0,0,0,0,0,0
RLA,STE1AH,0,0,0,0,0,0,0,0,0
ARG,STE1AH,0,0,0,0,0,0,0,0,0
OCE,STE1AH,0,0,0,0,0,0,0,0,0
AUT,STE1AH,0,0,0,0,0,0,0,0,0
BEL,STE1AH,0,0,0,0,0,0,0,0,0
BRA,STE1AH,0,0,0,0,0,0,0,0,0
BGR,STE1AH,0,0,0,0,0,0,0,0,0
CAN,STE1AH,0,0,0,0,0,0,0,0,0
CHA,STE1AH,0,0,0,0,0,0,0,0,0
HRV,STE1AH,0,0,0,0,0,0,0,0,0
CYP,STE1AH,0,0,0,0,0,0,0,0,0
CZE,STE1AH,0,0,0,0,0,0,0,0,0
DNK,STE1AH,0,0,0,0,0,0,0,0,0
EGY,STE1AH,0,0,0,0,0,0,0,0,0
EST,STE1AH,0,0,0,0,0,0,0,0,0
FIN,STE1AH,0,0,0,0,0,0,0,0,0
FRA,STE1AH,0,0,0,0,0,0,0,0,0
DEU,STE1AH,0,0,0,0,0,0,0,0,0
GRC,STE1AH,0,0,0,0,0,0,0,0,0
HUN,STE1AH,0,0,0,0,0,0,0,0,0
NSI,STE1AH,0,0,0,0,0,0,0,0,0
IND,STE1AH,0,0,0,0,0,0,0,0,0
IDN,STE1AH,0,0,0,0,0,0,0,0,0
IRN,STE1AH,0,0,0,0,0,0,0,0,0
IRL,STE1AH,0,0,0,0,0,0,0,0,0
ISR,STE1AH,0,0,0,0,0,0,0,0,0
ITA,STE1AH,0,0,0,0,0,0,0,0,0
JPN,STE1AH,0,0,0,0,0,0,0,0,0
KOR,STE1AH,0,0,0,0,0,0,0,0,0
LVA,STE1AH,0,0,0,0,0,0,0,0,0
LTU,STE1AH,0,0,0,0,0,0,0,0,0
LUX,STE1AH,0,0,0,0,0,0,0,0,0
MLT,STE1AH,0,0,0,0,0,0,0,0,0
MEX,STE1AH,0,0,0,0,0,0,0,0,0
MAR,STE1AH,0,0,0,0,0,0,0,0,0
NLD,STE1AH,0,0,0,0,0,0,0,0,0
NGA,STE1AH,0,0,0,0,0,0,0,0,0
POL,STE1AH,0,0,0,0,0,0,0,0,0
PRT,STE1AH,0,0,0,0,0,0,0,0,0
ROU,STE1AH,0,0,0,0,0,0,0,0,0
RUS,STE1AH,0,0,0,0,0,0,0,0,0
SAU,STE1AH,0,0,0,0,0,0,0,0,0
SVK,STE1AH,0,0,0,0,0,0,0,0,0
SVN,STE1AH,0,0,0,0,0,0,0,0,0
ZAF,STE1AH,0,0,0,0,0,0,0,0,0
ESP,STE1AH,0,0,0,0,0,0,0,0,0
SWE,STE1AH,0,0,0,0,0,0,0,0,0
TUN,STE1AH,0,0,0,0,0,0,0,0,0
TUR,STE1AH,0,0,0,0,0,0,0,0,0
GBR,STE1AH,0,0,0,0,0,0,0,0,0
USA,STE1AH,0,0,0,0,0,0,0,0,0
RAS,STE1AL,0,0,0,0,0,0,0,0,0
RWO,STE1AL,0,0,0,0,0,0,0,0,0
REU,STE1AL,0,0,0,0,0,0,0,0,0
REP,STE1AL,0,0,0,0,0,0,0,0,0
RAF,STE1AL,0,0,0,0,0,0,0,0,0
RLA,STE1AL,0,0,0,0,0,0,0,0,0
ARG,STE1AL,0,0,0,0,0,0,0,0,0
OCE,STE1AL,0,0,0,0,0,0,0,0,0
AUT,STE1AL,0,0,0,0,0,0,0,0,0
BEL,STE1AL,0,0,0,0,0,0,0,0,0
BRA,STE1AL,0,0,0,0,0,0,0,0,0
BGR,STE1AL,0,0,0,0,0,0,0,0,0
CAN,STE1AL,0,0,0,0,0,0,0,0,0
CHA,STE1AL,0,0,0,0,0,0,0,0,0
HRV,STE1AL,0,0,0,0,0,0,0,0,0
CYP,STE1AL,0,0,0,0,0,0,0,0,0
CZE,STE1AL,0,0,0,0,0,0,0,0,0
DNK,STE1AL,0,0,0,0,0,0,0,0,0
