dummy,dummy,dummy,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
RLA,BM,GDO,1089.71589227586,1218.90523724138,1257.23008055172,1259.78234068965,1208.40799462069,1003.1027277931,975.815504344828,996.98576675862,1076.21912544828,1091.24657937931,1060.50665068966,1113.53679710345
ARG,BM,GDO,896.3835,844.9734,1094.4627,1172.2024,1581.1694,1318.2636,1480.6471,1413.0034,1570.0921,1630.0703,1384.6908,1746.4587
OCE,BM,GDO,1110.46600441176,1190.69032573529,1248.18540588235,1219.83536213235,1188.62098823529,961.15155625,831.542045588235,907.983434558823,1020.02419926471,988.501302941176,848.976389705882,940.721325735294
AUT,BM,GDO,1580.0132,1840.4586,1903.714,1796.0148,1692.993,1447.157,1318.1491,1386.0461,1504.7376,1460.1658,1252.0045,1437.3442
BEL,BM,GDO,1685.6985,1951.172,2017.9016,1923.0521,1838.35,1579.9328,1503.1338,1646.1665,1826.903,1822.3579,1626.2478,1732.0105
BRA,BM,GDO,969.2523,919.5986,898.689,940.4651,958.0233,988.886,969.0254,967.5252,1032.8622,1038.0707,960.9425,1179.5952
BGR,BM,GDO,1346.7731,1553.827,1633.281,1695.8598,1679.1468,1452.3168,1243.2238,1289.7649,1370.458,1335.1124,1089.8191,1218.596
CAN,BM,GDO,997.6113,1196.5533,1187.3652,1205.2414,1234.2232,993.8331,876.4375,972.9683,1111.8488,1042.3844,872.5961,1059.0626
CHA,BM,GDO,1549.60505,1715.4514,1766.7873,1708.12015,1518.68475,1345.81625,1261.6124,1391.3732,1537.45965,1497.16265,1385.0977,1409.0822
HRV,BM,GDO,1433.7559,1610.9021,1774.4577,1656.9511,1679.2309,1501.9446,1386.9643,1486.4547,1622.8875,1622.6037,1464.0011,1464.0011
CYP,BM,GDO,1321.3797,1592.764,1680.3201,1754.3881,1798.9092,1588.1518,1480.1881,1563.5667,1682.738,1579.8685,1443.4018,1614.3228
CZE,BM,GDO,1561.1658,1709.4975,1760.8608,1720.6567,1721.7335,1475.7817,1286.4249,1352.7408,1417.0741,1382.9424,1183.3651,1275.1395
DNK,BM,GDO,1669.7052,1886.9326,1950.6059,1978.6654,1859.1625,1614.9671,1494.1301,1582.1285,1730.5174,1716.9508,1518.3771,1720.7214
EGY,BM,GDO,424.2303,235.6727,218.043,200.9917,293.726,272.6539,198.7291,241.5021,491.2787,555.5081,528.829,501.0425
EST,BM,GDO,1289.8176,1411.3354,1470.1328,1379.1607,1319.6514,1130.469,1083.1161,1188.8257,1278.0371,1272.7944,1053.8514,1150.6287
FIN,BM,GDO,1587.6326,1858.3991,2040.4754,1961.8183,1901.551,1671.3729,1527.2269,1651.4787,1754.1015,1759.0378,1584.5733,1868.7894
FRA,BM,GDO,1560.585,1783.3101,1828.3519,1752.6508,1663.7111,1491.2082,1420.0063,1569.1501,1799.5596,1782.2006,1554.0656,1735.8796
DEU,BM,GDO,1697.274,1932.4512,1980.8051,1871.9024,1768.8456,1534.7854,1412.7302,1493.8349,1637.172,1586.7477,1385.477,1662.1881
GRC,BM,GDO,1604.1753,1835.0107,1872.7876,1723.3152,1683.3956,1496.4037,1383.1026,1614.9675,1754.3772,1752.7423,1534.5231,1748.7082
HUN,BM,GDO,1490.9962,1695.2977,1833.9827,1768.4441,1730.5159,1491.3805,1380.0593,1447.8999,1563.8195,1523.496,1368.7582,1571.3921
NSI,BM,GDO,1960.43175357143,2105.24387857143,2208.59942142857,2084.13398928571,1966.48319642857,1772.69721428571,1652.63748928571,1772.98096785714,1850.71005357143,1846.67680714286,1704.62245,1813.30668571429
IND,BM,GDO,1061.856,1052.4497,1052.8984,1026.053,1069.21,867.5111,836.3308,894.394,1086.2872,1034.6639,1017.4624,1160.2997
IDN,BM,GDO,517.4116,491.1077,470.9532,494.4531,530.6959,593.0989,443.8338,416.5327,403.6234,391.7511,384.3675,378.463
IRN,BM,GDO,19.0579,137.1833,71.8669,52.61,45.1176,200.5498,187.0008,173.0769,87.9873,61.7912,80.2677,34.3681
IRL,BM,GDO,1629.2663,1862.8637,2015.5553,1956.018,1872.0358,1619.2607,1486.5615,1599.7243,1718.7167,1678.9418,1520.1195,1747.7353
ISR,BM,GDO,2109.3192,2351.5579,2404.8441,2278.0994,2213.027,1907.0666,1742.1892,1825.0164,1997.8704,1958.9948,1758.1558,1893.3133
ITA,BM,GDO,1687.6638,1955.5379,2235.3549,2146.7267,2079.438,1815.7219,1657.5232,1766.4445,1878.8352,1856.4166,1654.4102,1834.0466
JPN,BM,GDO,1123.0531,1258.5426,1271.2301,1346.222,1375.2157,1125.0132,981.8207,1074.7986,1217.9369,1197.8562,1103.7198,1276.9203
KOR,BM,GDO,993.691547058824,1046.46614117647,1145.40072941176,1114.77987941176,1083.77694117647,906.59365,767.572552941176,820.300135294118,895.393958823529,876.267864705882,790.186223529412,848.751041176471
LVA,BM,GDO,1490.3692,1701.3743,1770.1757,1699.1145,1624.9328,1367.7343,1227.846,1311.584,1453.8733,1426,1239.0939,1411.3329
LTU,BM,GDO,1413.847,1650.0331,1722.7159,1693.0075,1619.2641,1378.693,1213.4053,1270.7077,1378.7771,1340.8674,1156.1943,1301.9792
LUX,BM,GDO,1405.7801,1591.2106,1669.4707,1590.1004,1511.4089,1315.7499,1189.6245,1260.5056,1369.924,1350.1265,1179.9554,1448.3705
MLT,BM,GDO,1184.7051,1427.185,1463.2232,1465.3125,1454.3592,1331.8237,1219.2141,1211.0909,1211.0909,1211.0909,1211.0909,1211.0909
MEX,BM,GDO,748.4509,804.8866,856.7012,920.7891,996.3252,1036.7442,1000.2518,1136.2123,1215.7098,1308.2499,1170.794,1213.5689
MAR,BM,GDO,937.5373,914.3118,1025.7063,985.5672,1084.2977,993.4455,1055.103,1061.163,1067.3124,1110.994,961.7692,1052.6187
NLD,BM,GDO,1649.9219,1856.8106,1941.4274,1863.5192,1826.7831,1589.0591,1468.5221,1549.9718,1666.5291,1649.8148,1485.7652,1708.4756
NGA,BM,GDO,1005.9049,1346.228,1354.7078,1113.4016,1030.3317,937.2554,848.0661,693.0929,756.9949,816.2122,709.639,675.293
POL,BM,GDO,1420.9521,1612.9403,1751.2951,1675.9342,1592.9954,1382.0169,1284.3651,1347.8046,1470.4069,1477.2533,1261.0233,1456.8494
PRT,BM,GDO,1592.8519,1829.8153,1881.9639,1796.6521,1690.7647,1533.1959,1454.9197,1572.4512,1683.3194,1702.7617,1555.7096,1753.7134
ROU,BM,GDO,1463.0905,1645.4116,1788.8299,1704.3425,1752.145,1545.465,1413.3326,1385.923,1576.6768,1525.3266,1218.8464,1399.1092
RUS,BM,GDO,563.6671,670.022,723.7505,751.9441,740.406,662.6224,635.0832,656.5685,731.688,747.2839,744.9835,716.3572
SAU,BM,GDO,90.5799,85.593,83.5191,80.369,78.611,108.6073,136.9606,138.1183,134.6541,143.6457,138.8613,149.0674
SVK,BM,GDO,1585.273,1818.1588,1884.4388,1806.5468,1747.02,1482.144,1369.0414,1467.5695,1572.2473,1514.3491,1289.8605,1454.4056
SVN,BM,GDO,1572.1402,1670.3553,1783.4761,1774.8945,1735.2673,1519.0653,1391.1564,1498.6607,1601.0894,1540.6291,1310.8334,1536.6267
ZAF,BM,GDO,874.9233,1030.4448,1138.0655,1200.0514,1196.5668,969.4855,894.7288,939.6391,1067.8438,1056.5108,915.6279,1026.9114
ESP,BM,GDO,1478.1035,1691.8693,1775.0562,1742.7035,1678.2125,1440.0295,1311.6283,1397.1857,1502.0998,1505.9189,1333.2922,1498.9367
SWE,BM,GDO,1782.5306,1944.6803,2023.8654,2002.3948,1984.9697,1832.9384,1816.7808,1913.4221,2053.1473,2021.1996,1827.3369,1745.031
TUN,BM,GDO,744.6389,721.2696,730.0896,758.3783,774.4124,815.6598,686.9176,668.5958,683.8028,745.215,660.5336,656.7574
TUR,BM,GDO,1911.552,2159.3034,2165.7534,2181.2534,2012.5468,1659.8858,1535.0372,1675.5791,1771.5225,1704.3239,1429.7788,1485.9064
GBR,BM,GDO,2352.5148,2634.7293,2626.2616,2541.6633,2381.3465,2042.6637,1938.3182,2061.9461,2180.6958,2168.0654,1945.322,2149.2194
USA,BM,GDO,1000.1919,1245.3797,1260.316,1226.1995,1177.9179,832.2622,701.5208,789.092,923.7474,871.1608,719.0661,882.7859
